GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ZenviaM,com.mycompany.zenviam,Main,119,0,12,0,26,0,8,0,2,0
ZenviaM,com.mycompany.zenviam,Caixa,0,68,0,0,0,10,0,2,0,2
